fund_id,fund_name,manager_name,fund_type,strategy,vintage_year,inception_date,fund_size_millions,currency,target_size_millions,status,geography,sector_focus,administrator,last_updated
PE001,Beta Fund I,Apollo Global Management,Private Equity,Buyout,2018,2018-07-11,1753.71,USD,1876.87,Liquidated,Middle East,Energy,,2025-01-04
PE002,Omega Fund II,KKR & Co,Private Equity,Growth Equity,2024,2024-05-02,987.81,USD,1049.78,Fundraising,Global,Industrials,Citco,2025-11-12
PE003,Delta Fund II,Renaissance Technologies,Private Equity,Growth Equity,2020,2020-07-03,4769.94,GBP,5402.8,Fundraising,Middle East,Consumer,Northern Trust,2025-10-02
PE004,Beta Fund VI,Carlyle Group,Private Equity,Mezzanine,2019,2019-09-05,1363.28,USD,1567.26,Investing,Latin America,Consumer,Citco,2023-11-25
PE005,Beta Fund V,Renaissance Technologies,Private Equity,Distressed,2018,2018-07-26,3109.93,USD,3384.95,Investing,Latin America,Multi-Sector,BNY Mellon,2024-10-09
PE006,Summit Fund I,Vista Equity Partners,Private Equity,Buyout,2019,2019-09-22,3348.23,USD,3851.23,Harvesting,Europe,Industrials,SS&C Technologies,2024-09-16
PE007,Alpha Fund I,Renaissance Technologies,Private Equity,Buyout,2022,2022-07-21,3090.52,EUR,3337.55,Investing,Middle East,Technology,BNY Mellon,2025-10-30
PE008,Delta Fund II,Blackstone Group,Private Equity,Mezzanine,2018,2018-03-26,-250.0,USD,,Investing,North America,Multi-Sector,,2025-09-06
PE009,Alpha Fund V,Carlyle Group,Private Equity,Distressed,2022,2022-10-27,3736.73,USD,4146.18,Investing,Middle East,Multi-Sector,Northern Trust,2025-08-23
PE010,Delta Fund VI,Apollo Global Management,Private Equity,Distressed,2023,2023-08-21,1576.61,USD,1650.55,Harvesting,Asia Pacific,Healthcare,SS&C Technologies,2025-08-16
PE011,Summit Fund II,KKR & Co,Private Equity,Growth Equity,2018,2018-02-14,2334.2,USD,2430.76,Liquidated,Global,Technology,BNY Mellon,2025-09-25
PE012,Peak Fund V,Warburg Pincus,Private Equity,Mezzanine,2015,2015-06-10,3890.64,GBP,4216.69,Investing,Global,Industrials,Citco,2025-09-24
PE013,Omega Fund I,Bridgewater Associates,Private Equity,Distressed,2021,2021-12-06,4282.28,GBP,4739.73,Liquidated,Latin America,Technology,,2024-04-18
PE014,Gamma Fund VI,Silver Lake Partners,Private Equity,Growth Equity,2015,2015-05-13,1973.09,USD,2320.21,Harvesting,Global,Consumer,BNY Mellon,2025-09-04
PE015,Summit Fund III,Benchmark Capital,Private Equity,Buyout,2020,2020-04-21,808.78,JPY,,Fundraising,Europe,Industrials,BNY Mellon,2025-10-13
PE016,Omega Fund II,Apollo Global Management,Private Equity,Growth Equity,2027,2022-11-04,3037.86,USD,3503.81,Investing,Latin America,Healthcare,BNY Mellon,2023-12-05
PE017,Delta Fund III,Sequoia Capital,Private Equity,Buyout,2024,2024-01-10,3091.09,GBP,3673.12,Investing,North America,Industrials,SS&C Technologies,2025-08-17
PE018,Beta Fund I,Tiger Global Management,Private Equity,Buyout,2024,2024-01-12,2897.35,USD,,Harvesting,North America,Real Estate,BNY Mellon,2024-11-13
PE019,Summit Fund I,Andreessen Horowitz,Private Equity,Mezzanine,1985,1985-01-15,3802.08,JPY,4416.65,Liquidated,Global,Real Estate,BNY Mellon,2025-10-02
PE020,Prime Fund III,Silver Lake Partners,Private Equity,Growth Equity,2016,2016-05-15,1597.39,USD,1718.47,Fundraising,Global,Energy,SS&C Technologies,2025-10-10
PE021,Omega Fund I,Acme Capital Partners,Private Equity,Distressed,2019,2019-10-23,4460.48,USD,4630.92,Investing,Middle East,Real Estate,Northern Trust,2025-08-16
PE022,Peak Fund V,Andreessen Horowitz,Private Equity,Mezzanine,2022,2022-08-26,577.59,USD,605.7,Harvesting,Global,Energy,Citco,2025-10-01
PE023,Beta Fund IV,Bridgewater Associates,Private Equity,Distressed,2022,2022-05-10,1631.32,USD,,Fundraising,Middle East,Financial Services,SS&C Technologies,2025-10-08
PE024,Beta Fund V,Silver Lake Partners,Private Equity,Distressed,2016,2016-04-10,-1500.0,USD,,Investing,Asia Pacific,Technology,,2025-08-15
PE025,Omega Fund VI,Apollo Global Management,Private Equity,Growth Equity,2022,2022-02-28,555.19,USD,593.02,Fundraising,Asia Pacific,Multi-Sector,SS&C Technologies,2024-09-08
PE026,Prime Fund V,Renaissance Technologies,Private Equity,Buyout,2024,2024-11-22,741.24,USD,786.28,Investing,North America,Real Estate,State Street,2025-10-15
PE027,Delta Fund VI,Andreessen Horowitz,Private Equity,Mezzanine,2022,2022-08-10,4370.75,CHF,4913.62,Fundraising,Europe,Industrials,Citco,2025-01-15
PE028,Beta Fund I,Vista Equity Partners,Private Equity,Growth Equity,2023,2023-02-06,512.04,USD,541.87,Investing,Asia Pacific,Consumer,State Street,2025-08-17
PE029,Delta Fund III,Renaissance Technologies,Private Equity,Growth Equity,2019,2019-11-19,3475.32,GBP,3853.83,Investing,Asia Pacific,Financial Services,,2024-12-11
PE030,Beta Fund II,KKR & Co,Private Equity,Distressed,2022,2022-02-15,3599.05,USD,3959.29,Liquidated,Global,Healthcare,Northern Trust,2025-10-02
PE031,Beta Fund IV,Apollo Global Management,Private Equity,Distressed,2015,2015-02-08,5000.0,EUR,3000.0,Harvesting,Latin America,Technology,BNY Mellon,2024-03-03
PE032,Omega Fund IV,Vista Equity Partners,Private Equity,Mezzanine,2019,2019-03-19,2461.48,EUR,2692.86,Liquidated,Asia Pacific,Energy,State Street,2025-10-01
PE033,Prime Fund II,Renaissance Technologies,Private Equity,Mezzanine,2022,2022-05-22,4753.37,EUR,5185.76,Harvesting,Asia Pacific,Energy,SS&C Technologies,2025-09-08
PE034,Prime Fund III,Vista Equity Partners,Private Equity,Buyout,2023,2023-08-14,743.92,USD,818.09,Liquidated,North America,Industrials,Citco,2024-12-21
PE035,Delta Fund VI,Benchmark Capital,Private Equity,Mezzanine,2022,2022-02-01,4879.16,USD,,Investing,Asia Pacific,Technology,Northern Trust,2025-03-20
PE036,Omega Fund VI,Silver Lake Partners,Private Equity,Mezzanine,2016,2016-11-27,1192.87,GBP,1361.16,Liquidated,Global,Multi-Sector,,2025-09-24
PE037,Beta Fund V,KKR & Co,Private Equity,Growth Equity,2024,2024-09-24,4456.97,GBP,5161.18,Liquidated,Asia Pacific,Consumer,BNY Mellon,2025-10-05
PE038,Gamma Fund V,Apollo Global Management,Private Equity,Mezzanine,2017,2017-08-18,2679.54,USD,2881.69,Harvesting,Europe,Industrials,Northern Trust,2025-09-21
PE039,Delta Fund II,Apollo Global Management,Private Equity,Buyout,2020,2020-12-16,3673.53,EUR,4161.15,Investing,Global,Technology,SS&C Technologies,2025-10-01
PE040,Peak Fund IV,Sequoia Capital,Private Equity,Buyout,2022,2022-02-17,4596.99,USD,,Investing,North America,Multi-Sector,BNY Mellon,2025-08-25
PE041,Omega Fund VI,Blackstone Group,Private Equity,Mezzanine,2016,2016-06-28,3534.61,USD,3977.71,Liquidated,Latin America,Technology,State Street,2025-08-17
PE042,Delta Fund VI,Benchmark Capital,Private Equity,Distressed,2018,2018-12-03,2452.87,USD,2880.93,Liquidated,Europe,Consumer,,2025-04-19
PE043,Prime Fund I,Carlyle Group,Private Equity,Distressed,2026,2020-06-14,1155.06,USD,1338.14,Investing,Europe,Healthcare,State Street,2025-08-17
PE044,Delta Fund I,Blackstone Group,Private Equity,Growth Equity,2022,2022-10-05,1544.85,USD,1750.88,Liquidated,Asia Pacific,Financial Services,SS&C Technologies,2025-08-29
PE045,Prime Fund IV,Andreessen Horowitz,Private Equity,Distressed,2021,2021-12-09,2555.76,USD,2991.94,Fundraising,Europe,Real Estate,Northern Trust,2025-08-15
PE046,Omega Fund I,Andreessen Horowitz,Private Equity,Distressed,2015,2015-11-13,1735.16,USD,1993.58,Fundraising,Latin America,Multi-Sector,BNY Mellon,2025-10-14
PE047,Delta Fund V,Bridgewater Associates,Private Equity,Distressed,2018,2018-11-07,3294.01,USD,3728.28,Investing,Middle East,Healthcare,,2025-10-04
PE048,Prime Fund II,Apollo Global Management,Private Equity,Mezzanine,2015,2015-10-12,3795.62,USD,4363.05,Investing,Europe,Financial Services,BNY Mellon,2025-09-27
PE049,Peak Fund IV,Silver Lake Partners,Private Equity,Distressed,2017,2017-05-27,4748.85,JPY,5575.53,Fundraising,Global,Healthcare,SS&C Technologies,2025-08-18
PE050,Peak Fund II,Warburg Pincus,Private Equity,Mezzanine,2023,2023-06-03,4058.07,USD,4427.18,Harvesting,Latin America,Real Estate,,2025-10-30
PE051,Peak Fund II,Apollo Global Management,Private Equity,Growth Equity,2022,2022-01-20,4479.06,USD,4677.36,Fundraising,Middle East,Multi-Sector,,2025-09-21
PE052,Peak Fund II,Renaissance Technologies,Private Equity,Buyout,2017,2017-01-02,1869.64,USD,,Investing,Global,Multi-Sector,Citco,2025-08-15
PE053,Omega Fund VI,Renaissance Technologies,Private Equity,Mezzanine,2024,2024-12-24,1195.35,USD,,Liquidated,Latin America,Real Estate,,2025-08-16
PE054,Summit Fund V,Bridgewater Associates,Private Equity,Distressed,2018,2018-08-15,4777.5,GBP,,Harvesting,Latin America,Energy,SS&C Technologies,2025-10-28
PE055,Summit Fund III,Acme Capital Partners,Private Equity,Mezzanine,2016,2016-11-07,3387.67,USD,,Harvesting,Europe,Financial Services,BNY Mellon,2025-09-03
PE056,Delta Fund II,Vista Equity Partners,Private Equity,Growth Equity,2024,2024-04-27,4413.63,USD,,Fundraising,Asia Pacific,Financial Services,,2025-10-21
PE057,Peak Fund I,Andreessen Horowitz,Private Equity,Buyout,2015,2015-03-01,2112.09,EUR,2118.76,Harvesting,North America,Financial Services,State Street,2025-11-04
PE058,Alpha Fund I,TPG Capital,Private Equity,Mezzanine,2022,2022-06-17,3171.5,USD,,Fundraising,Middle East,Consumer,Northern Trust,2025-11-05
PE059,Gamma Fund VI,Bridgewater Associates,Private Equity,Mezzanine,2021,2021-07-22,985.83,EUR,1163.13,Harvesting,Latin America,Financial Services,SS&C Technologies,2025-08-23
PE060,Gamma Fund VI,Apollo Global Management,Private Equity,Distressed,2021,2021-10-17,1827.04,USD,2116.84,Fundraising,Middle East,Industrials,Citco,2025-09-21
PE061,Summit Fund V,Acme Capital Partners,Private Equity,Distressed,2022,2022-07-14,3783.26,USD,3976.12,Investing,Middle East,Multi-Sector,SS&C Technologies,2025-11-01
PE062,Beta Fund IV,Acme Capital Partners,Private Equity,Mezzanine,2016,2016-12-24,2176.91,USD,,Harvesting,Middle East,Healthcare,Citco,2025-09-19
PE063,Summit Fund V,Carlyle Group,Private Equity,Buyout,2019,2019-10-10,2082.41,USD,,Liquidated,Europe,Healthcare,Citco,2025-10-29
PE064,Peak Fund V,Tiger Global Management,Private Equity,Distressed,2024,2024-04-26,2431.01,USD,2733.29,Fundraising,Latin America,Consumer,SS&C Technologies,2025-10-04
PE065,Omega Fund V,KKR & Co,Private Equity,Distressed,2020,2020-01-06,4414.38,USD,4539.64,Fundraising,North America,Industrials,Citco,2025-10-23
PE066,Alpha Fund VI,Andreessen Horowitz,Private Equity,Distressed,2019,2019-12-11,3995.76,USD,,Fundraising,Europe,Financial Services,BNY Mellon,2025-04-06
PE067,Beta Fund VI,Apollo Global Management,Private Equity,Distressed,2022,2022-11-14,2685.48,USD,3090.96,Fundraising,Asia Pacific,Real Estate,SS&C Technologies,2025-08-29
PE068,Omega Fund VI,KKR & Co,Private Equity,Mezzanine,2023,2023-11-10,704.38,USD,705.46,Harvesting,Europe,Financial Services,,2025-10-28
PE069,Prime Fund I,Benchmark Capital,Private Equity,Buyout,2022,2022-12-14,1290.63,USD,1419.76,Harvesting,North America,Real Estate,BNY Mellon,2025-05-08
PE070,Omega Fund IV,Warburg Pincus,Private Equity,Mezzanine,2016,2016-06-19,2431.78,USD,2572.59,Liquidated,North America,Energy,SS&C Technologies,2025-09-15
PE071,Gamma Fund IV,Silver Lake Partners,Private Equity,Distressed,2016,2016-07-28,976.38,USD,991.74,Harvesting,Middle East,Energy,SS&C Technologies,2025-11-03
PE072,Alpha Fund VI,Benchmark Capital,Private Equity,Buyout,2023,2023-09-07,4576.65,USD,5326.26,Investing,Europe,Healthcare,SS&C Technologies,2024-07-13
PE073,Omega Fund V,TPG Capital,Private Equity,Growth Equity,2016,2016-03-25,3325.77,USD,3711.21,Harvesting,Middle East,Energy,SS&C Technologies,2024-10-03
PE074,Gamma Fund V,Silver Lake Partners,Private Equity,Distressed,2019,2019-10-02,2083.74,USD,2099.41,Harvesting,Asia Pacific,Healthcare,State Street,2025-11-01
PE075,Beta Fund VI,Acme Capital Partners,Private Equity,Mezzanine,2022,2022-10-18,4794.04,EUR,,Investing,Asia Pacific,Multi-Sector,Northern Trust,2025-09-16
HF001,Omega Fund VI,Vista Equity Partners,Hedge Fund,Long/Short Equity,2020,2020-12-03,8063.69,USD,,Liquidated,Global,Financial Services,Citco,2025-09-24
HF002,Delta Fund II,Vista Equity Partners,Hedge Fund,Quantitative,2020,2020-11-20,1733.12,USD,1847.4,Liquidated,Asia Pacific,Consumer,State Street,2025-08-27
HF003,Prime Fund II,Renaissance Technologies,Hedge Fund,Global Macro,2020,2020-02-19,10290.57,GBP,11640.81,Liquidated,Europe,Healthcare,Citco,2025-10-01
HF004,Alpha Fund V,Benchmark Capital,Hedge Fund,Global Macro,2023,2023-02-21,10386.38,USD,,Harvesting,Europe,Industrials,Citco,2025-10-19
HF005,Prime Fund IV,Renaissance Technologies,Hedge Fund,Global Macro,2017,2017-03-03,5141.09,EUR,5696.09,Fundraising,Middle East,Energy,BNY Mellon,2025-08-28
HF006,Alpha Fund I,KKR & Co,Hedge Fund,Quantitative,2017,2017-03-06,12638.83,EUR,13057.27,Liquidated,North America,Real Estate,Citco,2025-09-17
HF007,Prime Fund III,Silver Lake Partners,Hedge Fund,Multi-Strategy,2019,2019-12-26,7284.99,USD,8463.15,Liquidated,Europe,Energy,State Street,2025-09-17
HF008,Delta Fund I,Acme Capital Partners,Hedge Fund,Quantitative,2019,2019-07-17,8384.44,JPY,9728.06,Investing,Asia Pacific,Technology,State Street,2025-09-03
HF009,Delta Fund V,Bridgewater Associates,Hedge Fund,Long/Short Equity,2023,2023-02-10,2174.25,USD,2397.48,Liquidated,North America,Industrials,BNY Mellon,2025-11-09
HF010,Beta Fund I,Carlyle Group,Hedge Fund,Quantitative,2015,2015-07-17,6235.46,USD,,Investing,North America,Energy,,2025-08-21
HF011,Peak Fund I,Sequoia Capital,Hedge Fund,Event Driven,2017,2017-03-02,5016.31,EUR,5155.56,Liquidated,Global,Technology,,2025-01-27
HF012,Gamma Fund II,Silver Lake Partners,Hedge Fund,Global Macro,2023,2023-12-20,8388.8,USD,8894.06,Fundraising,Europe,Real Estate,State Street,2025-11-04
HF013,Peak Fund V,KKR & Co,Hedge Fund,Long/Short Equity,2022,2022-10-18,1230.09,USD,,Investing,Asia Pacific,Real Estate,SS&C Technologies,2025-08-31
HF014,Gamma Fund III,TPG Capital,Hedge Fund,Quantitative,2017,2017-11-22,2198.6,JPY,,Fundraising,Global,Multi-Sector,,2025-09-26
HF015,Summit Fund II,KKR & Co,Hedge Fund,Event Driven,2015,2015-06-26,1945.83,USD,1986.17,Harvesting,Europe,Technology,Citco,2025-08-22
HF016,Delta Fund VI,Acme Capital Partners,Hedge Fund,Global Macro,2022,2022-12-16,9844.3,EUR,,Liquidated,North America,Consumer,SS&C Technologies,2025-11-07
HF017,Omega Fund IV,Apollo Global Management,Hedge Fund,Event Driven,2019,2019-09-13,14847.72,USD,17084.65,Investing,Asia Pacific,Energy,BNY Mellon,2024-06-16
HF018,Prime Fund IV,Carlyle Group,Hedge Fund,Event Driven,2019,2019-02-26,6152.27,GBP,7253.08,Liquidated,Asia Pacific,Financial Services,Northern Trust,2025-09-07
HF019,Peak Fund I,Renaissance Technologies,Hedge Fund,Event Driven,2016,2016-12-14,2104.98,USD,2334.62,Harvesting,North America,Healthcare,Citco,2025-09-16
HF020,Delta Fund II,Renaissance Technologies,Hedge Fund,Multi-Strategy,2021,2021-03-23,7214.72,USD,8530.12,Liquidated,Asia Pacific,Technology,SS&C Technologies,2025-09-27
HF021,Beta Fund III,Tiger Global Management,Hedge Fund,Multi-Strategy,2017,2017-01-05,12881.37,USD,13206.57,Investing,Middle East,Energy,Citco,2025-11-08
HF022,Alpha Fund V,Bridgewater Associates,Hedge Fund,Multi-Strategy,2017,2017-11-15,14283.53,USD,15923.06,Harvesting,Global,Energy,State Street,2025-10-29
HF023,Delta Fund V,Acme Capital Partners,Hedge Fund,Long/Short Equity,2017,2017-08-17,6417.82,USD,6751.92,Liquidated,Europe,Consumer,State Street,2025-10-18
HF024,Delta Fund I,Renaissance Technologies,Hedge Fund,Long/Short Equity,2017,2017-02-15,3417.19,EUR,3971.13,Harvesting,Middle East,Energy,State Street,2025-10-06
HF025,Beta Fund VI,Carlyle Group,Hedge Fund,Event Driven,2017,2017-12-23,13982.54,USD,15405.28,Fundraising,Europe,Financial Services,SS&C Technologies,2025-09-27
HF026,Alpha Fund II,Blackstone Group,Hedge Fund,Multi-Strategy,2024,2024-06-15,12251.26,USD,12462.51,Harvesting,Global,Multi-Sector,Northern Trust,2025-08-31
HF027,Beta Fund I,Andreessen Horowitz,Hedge Fund,Long/Short Equity,2017,2017-06-21,2038.31,USD,2090.63,Investing,Europe,Real Estate,Northern Trust,2025-10-28
HF028,Prime Fund I,Blackstone Group,Hedge Fund,Multi-Strategy,2017,2017-05-06,3267.54,GBP,,Harvesting,North America,Consumer,SS&C Technologies,2025-10-08
HF029,Delta Fund III,Andreessen Horowitz,Hedge Fund,Global Macro,2019,2019-10-18,2308.0,USD,2576.03,Investing,Middle East,Energy,BNY Mellon,2025-11-09
HF030,Peak Fund II,Vista Equity Partners,Hedge Fund,Long/Short Equity,2015,2015-11-25,9074.8,USD,9830.89,Fundraising,Global,Consumer,State Street,2025-10-12
HF031,Gamma Fund VI,Carlyle Group,Hedge Fund,Quantitative,2019,2019-08-03,10640.59,USD,11628.98,Harvesting,Latin America,Financial Services,Citco,2025-09-29
HF032,Peak Fund II,Tiger Global Management,Hedge Fund,Quantitative,2017,2017-06-17,8863.12,USD,9337.25,Investing,Europe,Healthcare,SS&C Technologies,2025-08-26
HF033,Peak Fund IV,Silver Lake Partners,Hedge Fund,Quantitative,2018,2018-03-27,5584.1,USD,6436.37,Liquidated,Latin America,Multi-Sector,Northern Trust,2025-11-10
HF034,Delta Fund I,Renaissance Technologies,Hedge Fund,Long/Short Equity,2021,2021-09-15,14533.61,USD,14680.52,Liquidated,Latin America,Multi-Sector,Citco,2025-03-23
HF035,Beta Fund VI,Bridgewater Associates,Hedge Fund,Quantitative,2017,2017-05-24,6120.89,USD,,Fundraising,Latin America,Industrials,Citco,2025-09-24
HF036,Summit Fund III,TPG Capital,Hedge Fund,Multi-Strategy,2022,2022-09-09,12554.36,USD,12877.42,Fundraising,Global,Energy,BNY Mellon,2025-09-27
HF037,Summit Fund IV,Sequoia Capital,Hedge Fund,Global Macro,2018,2018-10-17,6619.42,USD,,Harvesting,Global,Multi-Sector,SS&C Technologies,2025-10-26
HF038,Peak Fund VI,Benchmark Capital,Hedge Fund,Event Driven,2024,2024-06-06,6501.36,USD,7273.36,Liquidated,Middle East,Consumer,Northern Trust,2024-11-29
HF039,Alpha Fund VI,KKR & Co,Hedge Fund,Long/Short Equity,2021,2021-10-10,12154.57,EUR,12219.35,Liquidated,Asia Pacific,Industrials,State Street,2025-10-22
HF040,Beta Fund I,Renaissance Technologies,Hedge Fund,Multi-Strategy,2024,2024-07-05,12503.26,USD,14255.02,Investing,North America,Multi-Sector,Citco,2024-05-29
HF041,Summit Fund VI,Renaissance Technologies,Hedge Fund,Global Macro,2021,2021-09-25,9560.69,USD,10951.58,Investing,Latin America,Industrials,Northern Trust,2025-09-12
HF042,Prime Fund I,Blackstone Group,Hedge Fund,Multi-Strategy,2021,2021-06-06,7435.29,USD,8440.35,Harvesting,Latin America,Multi-Sector,SS&C Technologies,2025-09-02
HF043,Delta Fund II,Bridgewater Associates,Hedge Fund,Event Driven,2018,2018-05-25,5046.06,USD,5366.02,Harvesting,Latin America,Consumer,Citco,2025-09-04
HF044,Delta Fund V,KKR & Co,Hedge Fund,Quantitative,2021,2021-06-25,12264.62,USD,14016.35,Harvesting,Global,Consumer,State Street,2025-09-05
HF045,Peak Fund II,Tiger Global Management,Hedge Fund,Event Driven,2023,2023-12-09,2921.82,USD,3063.5,Investing,Middle East,Industrials,SS&C Technologies,2025-09-13
VC001,Summit Fund II,Tiger Global Management,Venture Capital,Early Stage,2017,2017-01-18,1958.03,USD,2302.9,Liquidated,Global,Industrials,BNY Mellon,2025-10-07
VC002,Omega Fund IV,KKR & Co,Venture Capital,Early Stage,2016,2016-11-19,541.22,EUR,545.26,Investing,Global,Financial Services,,2024-10-26
VC003,Delta Fund I,Renaissance Technologies,Venture Capital,Growth,2017,2017-12-28,1859.48,GBP,,Fundraising,Asia Pacific,Consumer,Northern Trust,2025-09-06
VC004,Peak Fund V,TPG Capital,Venture Capital,Growth,2017,2017-09-15,618.39,EUR,708.81,Harvesting,Middle East,Financial Services,SS&C Technologies,2025-10-06
VC005,Beta Fund I,Acme Capital Partners,Venture Capital,Late Stage,2017,2017-10-28,1313.58,USD,1399.73,Liquidated,Middle East,Healthcare,SS&C Technologies,2024-12-03
VC006,Alpha Fund I,KKR & Co,Venture Capital,Late Stage,2015,2015-05-13,547.49,EUR,580.55,Fundraising,Asia Pacific,Energy,State Street,2025-03-18
VC007,Delta Fund II,Benchmark Capital,Venture Capital,Growth,2019,2019-03-13,1403.54,GBP,1619.64,Fundraising,Middle East,Consumer,Citco,2025-10-26
VC008,Summit Fund IV,Renaissance Technologies,Venture Capital,Growth,2017,2017-08-24,1978.79,USD,2340.04,Investing,Europe,Healthcare,Northern Trust,2025-09-27
VC009,Peak Fund II,Carlyle Group,Venture Capital,Early Stage,2024,2024-02-02,1674.67,GBP,,Investing,Europe,Energy,BNY Mellon,2025-08-17
VC010,Summit Fund I,Tiger Global Management,Venture Capital,Late Stage,2024,2024-08-03,1807.89,USD,,Investing,Latin America,Real Estate,Northern Trust,2024-09-23
VC011,Gamma Fund IV,Renaissance Technologies,Venture Capital,Seed,2015,2015-07-09,1651.26,EUR,1666.22,Harvesting,Middle East,Healthcare,Northern Trust,2025-04-12
VC012,Alpha Fund IV,TPG Capital,Venture Capital,Growth,2015,2015-05-14,441.96,USD,506.42,Liquidated,Asia Pacific,Real Estate,Citco,2025-09-25
VC013,Omega Fund IV,Tiger Global Management,Venture Capital,Growth,2016,2016-11-22,1761.65,USD,1803.45,Liquidated,Latin America,Financial Services,State Street,2025-11-12
VC014,Omega Fund IV,Andreessen Horowitz,Venture Capital,Early Stage,2019,2019-08-22,1466.28,USD,1533.63,Liquidated,Asia Pacific,Financial Services,Citco,2025-10-29
VC015,Peak Fund II,Bridgewater Associates,Venture Capital,Early Stage,2021,2021-10-25,1878.85,GBP,,Fundraising,North America,Technology,Citco,2025-11-06
VC016,Delta Fund III,Benchmark Capital,Venture Capital,Late Stage,2015,2015-07-15,545.24,USD,551.4,Harvesting,Europe,Energy,Northern Trust,2025-10-02
VC017,Delta Fund I,Tiger Global Management,Venture Capital,Late Stage,2019,2019-03-22,1090.38,USD,1211.79,Investing,Middle East,Real Estate,Northern Trust,2024-11-22
VC018,Alpha Fund VI,Blackstone Group,Venture Capital,Growth,2023,2023-06-23,891.02,USD,1025.46,Liquidated,Europe,Industrials,Citco,2025-09-14
VC019,Prime Fund I,Apollo Global Management,Venture Capital,Early Stage,2023,2023-07-14,1158.84,USD,,Investing,Asia Pacific,Healthcare,,2025-11-01
VC020,Alpha Fund V,KKR & Co,Venture Capital,Late Stage,2015,2015-05-13,1379.98,USD,1431.91,Investing,Global,Industrials,BNY Mellon,2025-11-11
VC021,Peak Fund V,Tiger Global Management,Venture Capital,Late Stage,2018,2018-12-04,1519.07,EUR,1730.41,Investing,Global,Industrials,Northern Trust,2025-09-25
VC022,Gamma Fund I,Benchmark Capital,Venture Capital,Growth,2023,2023-11-12,686.0,USD,749.94,Liquidated,Asia Pacific,Industrials,Citco,2025-09-01
VC023,Beta Fund II,Vista Equity Partners,Venture Capital,Late Stage,2017,2017-01-09,1151.29,USD,1219.26,Investing,Asia Pacific,Industrials,Citco,2025-09-10
VC024,Beta Fund V,TPG Capital,Venture Capital,Seed,2019,2019-08-24,1319.22,USD,,Harvesting,Europe,Financial Services,State Street,2025-09-04
VC025,Beta Fund VI,Bridgewater Associates,Venture Capital,Early Stage,2023,2023-01-27,1708.73,GBP,1969.94,Liquidated,Europe,Industrials,SS&C Technologies,2025-01-26
VC026,Delta Fund IV,Acme Capital Partners,Venture Capital,Growth,2020,2020-01-20,1311.68,GBP,1484.63,Fundraising,North America,Real Estate,SS&C Technologies,2025-10-08
VC027,Beta Fund V,Bridgewater Associates,Venture Capital,Seed,2015,2015-09-27,1425.93,USD,1477.05,Fundraising,Latin America,Financial Services,SS&C Technologies,2025-10-11
VC028,Delta Fund V,Warburg Pincus,Venture Capital,Seed,2019,2019-07-03,808.8,USD,968.98,Investing,Asia Pacific,Healthcare,State Street,2025-11-08
VC029,Alpha Fund V,Blackstone Group,Venture Capital,Early Stage,2021,2021-07-13,1150.13,USD,,Investing,North America,Multi-Sector,BNY Mellon,2025-10-01
VC030,Beta Fund IV,Blackstone Group,Venture Capital,Early Stage,2023,2023-01-08,501.69,GBP,549.4,Fundraising,North America,Consumer,BNY Mellon,2025-11-08
VC031,Prime Fund III,Bridgewater Associates,Venture Capital,Late Stage,2020,2020-01-07,1215.37,EUR,1312.19,Fundraising,Asia Pacific,Financial Services,Northern Trust,2025-09-24
VC032,Delta Fund VI,Renaissance Technologies,Venture Capital,Seed,2021,2021-12-05,1601.95,USD,,Harvesting,North America,Healthcare,Citco,2025-09-30
VC033,Prime Fund II,Warburg Pincus,Venture Capital,Growth,2020,2020-01-21,619.32,CHF,663.39,Liquidated,Global,Financial Services,State Street,2025-11-02
VC034,Omega Fund IV,Carlyle Group,Venture Capital,Seed,2018,2018-12-03,255.87,USD,288.31,Liquidated,Asia Pacific,Energy,,2024-12-11
VC035,Gamma Fund VI,Apollo Global Management,Venture Capital,Growth,2020,2020-05-04,351.76,USD,390.79,Liquidated,North America,Technology,SS&C Technologies,2025-08-28
VC036,Omega Fund IV,Bridgewater Associates,Venture Capital,Seed,2021,2021-01-10,886.24,EUR,985.42,Investing,Latin America,Financial Services,State Street,2024-12-31
VC037,Prime Fund I,Tiger Global Management,Venture Capital,Seed,2019,2019-08-05,220.21,USD,241.54,Fundraising,Asia Pacific,Consumer,,2025-09-10
VC038,Alpha Fund IV,Tiger Global Management,Venture Capital,Late Stage,2022,2022-02-05,678.85,GBP,763.05,Harvesting,Global,Consumer,Citco,2025-08-21
VC039,Beta Fund I,Tiger Global Management,Venture Capital,Late Stage,2019,2019-06-20,1899.83,USD,2266.34,Harvesting,Asia Pacific,Financial Services,,2025-10-02
VC040,Delta Fund V,Blackstone Group,Venture Capital,Growth,2019,2019-07-12,316.39,USD,350.92,Fundraising,Middle East,Multi-Sector,,2025-10-06
